SPAC1006.05c
SPCC16C4.22
SPCC1739.13
SPCC1795.08c
SPCC1795.09
SPCC18.04
SPCC18.06c
SPCC18.08
SPCC18.09c
SPCC1827.07c
SPCC1840.01c
SPCC188.02
SPCC18B5.03
SPCC18B5.08c
SPCC191.09c
SPCC1919.09
SPCC1919.15
SPCC23B6.01c
SPCC24B10.09
SPCC24B10.22
SPCC285.15c
SPCC285.17
SPCC306.09c
SPCC31H12.04c
SPCC31H12.08c
SPCC320.07c
SPCC330.14c
SPCC338.16
SPCC364.03
SPCC417.02
SPCC417.06c
SPCC417.07c
SPCC4B3.08
SPCC550.14
SPCC576.05
SPCC576.11
SPCC584.02
SPCC613.04c
SPCC613.05c
SPCC613.06
SPCC645.09
SPCC663.04
SPCC70.06
SPCC736.03c
SPCC736.04c
SPCC736.06
SPCC736.10c
SPCC790.02
SPCC962.04
SPCC965.07c
SPCC970.04c
SPCC970.10c
