YGL033W;HOP2;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YGL047W;YGL047W;n/a;JORGENSEN ORIGINAL LIST
YGL071W;RCS1;NAM responsive;JORGENSEN ORIGINAL LIST
YGL076C;RPL17A;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YGL078C;DBP3;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YGL097W;SRM1;n/a;JORGENSEN ORIGINAL LIST
YGL107C;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YGL129C;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YGL135W;RPL1B;NAM responsive;JORGENSEN ORIGINAL LIST
YGL143C;MRF1;NAM responsive;JORGENSEN ORIGINAL LIST
YGL173C;KEM1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YGL214W;n/a;n/a;JORGENSEN ORIGINAL LIST
YGL218W;n/a;n/a;JORGENSEN ORIGINAL LIST
YGL220W;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YGL246C;n/a;n/a;JORGENSEN ORIGINAL LIST
YGL253W;HXK2;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YGR006W;PRP18;n/a;JORGENSEN ORIGINAL LIST
YGR036C;CWH8;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YGR056W;RSC1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YGR063C;SPT4;DAB responsive;JORGENSEN ORIGINAL LIST
YGR064W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YGR078C;PAC10;DAB responsive;JORGENSEN ORIGINAL LIST
YGR092W;DBF2;n/a;JORGENSEN ORIGINAL LIST
YGR102C;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YGR104C;SRB5;n/a;JORGENSEN ORIGINAL LIST
YGR111W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YGR115C;YGR115C;n/a;JORGENSEN ORIGINAL LIST
YGR150C;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YGR160W;FYV13;NAM unresponsive;JORGENSEN ORIGINAL LIST
YGR165W;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YGR167W;CLC1;DAB responsive;JORGENSEN ORIGINAL LIST
YGR171C;MSM1;NAM responsive;JORGENSEN ORIGINAL LIST
YGR180C;RNR4;n/a;JORGENSEN ORIGINAL LIST
YGR214W;RPS0A;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YGR219W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YGR220C;MRPL9;NAM responsive;JORGENSEN ORIGINAL LIST
YGR262C;BUD32;n/a;JORGENSEN ORIGINAL LIST
YGR265W;YGR265W;n/a;JORGENSEN ORIGINAL LIST
YGR285C;ZUO1;NAM unresponsive;JORGENSEN ORIGINAL LIST
YHL011C;PRS3;n/a;JORGENSEN ORIGINAL LIST
YHR001W;QCR10;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YHR009C;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YHR011W;DIA4;NAM responsive;JORGENSEN ORIGINAL LIST
YHR021C;RPS27B;n/a;JORGENSEN ORIGINAL LIST
YHR034C;n/a;NAM unresponsive;JORGENSEN ORIGINAL LIST
YHR064C;SSZ1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YHR066W;SSF1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YHR091C;MSR1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YHR143W;RPC10;n/a;JORGENSEN ORIGINAL LIST
YHR147C;MRPL6;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YHR158C;KEL1;NAM unresponsive;JORGENSEN ORIGINAL LIST
YHR205W;SCH9;NAM responsive;JORGENSEN ORIGINAL LIST
YIL004C;BET1;n/a;JORGENSEN ORIGINAL LIST
YIL009W;FAA3;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YIL011W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YIL018W;RPL2B;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YIL034C;CAP2;DAB responsive;JORGENSEN ORIGINAL LIST
YIL040W;n/a;DAB hyper responsive;JORGENSEN ORIGINAL LIST
