Regular name;ORF id;Polidity;Size;Function
ASC1;YMR116C;haploid;larger;Translation and ribosome biogenesis
RPS21B;YJL136C;haploid;larger;Translation and ribosome biogenesis
DBP7;YKR024C;haploid;larger;Translation and ribosome biogenesis
RPL15B;YMR121C;haploid;larger;Translation and ribosome biogenesis
RPL43A;YPR043W;haploid;larger;Translation and ribosome biogenesis
RPS27B;YHR021C;haploid;larger;Translation and ribosome biogenesis
RPS4A;YJR145C;haploid;larger;Translation and ribosome biogenesis
FUN12;YAL035W;haploid;larger;Translation and ribosome biogenesis
ROX3;YBL093C;haploid;larger;RNA Pol II transcription complexes
SPT10;YJL127C;haploid;larger;RNA Pol II transcription complexes
RSC1;YGR056W;haploid;larger;RNA Pol II transcription complexes
CCR4;YAL021C;haploid;larger;RNA Pol II transcription complexes
SRB5;YGR104C;haploid;larger;RNA Pol II transcription complexes
SPT7;YBR081C;haploid;larger;RNA Pol II transcription complexes
ANC1;YPL129W;haploid;larger;RNA Pol II transcription complexes
POP2;YNR052C;haploid;larger;RNA Pol II transcription complexes
CTK3;YML112W;haploid;larger;RNA Pol II transcription complexes
SNF5;YBR289W;haploid;larger;RNA Pol II transcription complexes
CDC73;YLR418C;haploid;larger;RNA Pol II transcription complexes
;YLR358C;haploid;larger;RNA Pol II transcription complexes
HFI1;YPL254W;haploid;larger;RNA Pol II transcription complexes
RPB9;YBL058W;haploid;larger;RNA Pol II transcription complexes
SPT4;YGR063C;haploid;larger;RNA Pol II transcription complexes
SSN3;YPL042C;haploid;larger;RNA Pol II transcription complexes
GAL11;YOL051W;haploid;larger;RNA Pol II transcription complexes
SIN3;YOL004W;haploid;larger;RNA Pol II transcription complexes
MOT2;YER068W;haploid;larger;RNA Pol II transcription complexes
RSC2;YLR357W;haploid;larger;RNA Pol II transcription complexes
RPB4;YJL140W;haploid;larger;RNA Pol II transcription complexes
RNR1;YER070W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
TRF4;YOL115W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
FCL1;YOR080W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
HOF1;YMR032W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
POB1;YPR135W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CIN8;YEL061C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
RNR4;YGR180C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
SWI4;YER111C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
SPC72;YAL047C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CLB2;YPR119W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CIK1;YMR198W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CLN3;YAL040C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
ACE2;YLR131C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
ALF1;YNL148C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
SWI6;YLR182W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
BCK2;YER167W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
KAR3;YPR141C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
RTS1;YOR014W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
PAC10;YGR078C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
DCC1;YCL016C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
EST2;YLR318W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
BUB3;YOR026W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
DBF2;YGR092W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
HSL1;YKL101W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
RAD50;YNL250W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
RAD5;YLR032W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
HDF1;YMR284W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
;YLR181C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
BRE1;YDL074C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CDC50;YCR094W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CDC26;YFR036W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
EST1;YLR233C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
GIM5;YML094W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
DPB3;YBR278W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
CDC40;YDR364C;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
TPD3;YAL016W;haploid;larger;Cell cycle (including DNA metabolism and microtubule dynamics)
ARP5;YNL059C;haploid;larger;Actin cytoskeleton
BEM1;YBR200W;haploid;larger;Actin cytoskeleton
;YCL061C;haploid;larger;Actin cytoskeleton
RHO4;YKR055W;haploid;larger;Actin cytoskeleton
RVS161;YCR009C;haploid;larger;Actin cytoskeleton
;YOL076W;haploid;larger;Actin cytoskeleton
SAC3;YDR159W;haploid;larger;Actin cytoskeleton
BEM4;YPL161C;haploid;larger;Actin cytoskeleton
CLA4;YNL298W;haploid;larger;Actin cytoskeleton
FIG4;YNL325C;haploid;larger;Actin cytoskeleton
VRP1;YLR337C;haploid;larger;Actin cytoskeleton
